,AphiaID
Madrepora oculata,135209
Stenocyathus vermiformis,135208
Stichopathes pourtalesi,283975
Stichopathes lutkeni,283970
Stichopathes filiformis,283966
Stichopathes variabilis,283984
Stichopathes spiessi,283982
Stichopathes echinulata,283964
Stichopathes euoplos,103332
Stichopathes paucispina,283974
Stichopathes gracilis,103334
Stichopathes setacea,283979
Stichopathes occidentalis,283972
Stylatula elegans,128537
Distichopora violacea,210734
Porifera,558
Gorgonacea,1366
Stylasteridae,22805
Holaxonia,-999
Umbellula magniflora,173577
Umbellula lindahli,128531
Umbellula guentheri,418863
Polymyces fragilis,290837
Pennatulacea,1367
Cladocora debilis,135147
Funiculina quadrangularis,128506
Madracis myriaster,287111
Scleractinia,1363
Vaughanella margaritata,286898
Javania antarctica,173056
Javania borealis,287032
Javania cailleti,135198
Javania californica,287033
Javania lamprotichum,287037
Javania exserta,287034
Pourtalocyathus hispidus,290848
Gardineria hawaiiensis,287443
Polymyces montereyensis,290838
Enallopsammia rostrata,135190
Crispatotrochus squiresi,289745
Flabellum (Ulocyathus) alabastrum,135194
Paracyathus molokensis,286823
Premocyathus cornuformis,135167
Madracis kauaiensis,208944
Flabellum (Flabellum) chunii,135196
Caryophyllia (Caryophyllia) ambrosia,135135
Eguchipsammia serpentina,286985
Madracis kauaiensis var. macrocalyx,493219
Flabellum (Ulocyathus) macandrewi,135197
Peponocyathus folliculus,135216
Flabellum (Flabellum) pavoninum,287022
Labyrinthocyathus quaylei,290268
Oculina tenella,287100
Solenosmilia variabilis,135168
Eguchipsammia fistula,286983
Astrangia rathbuni,287124
Enallopsammia profunda,157965
Fungiacyathus (Bathyactis) symmetricus,287088
Astrangia poculata,157967
Flabellum (Ulocyathus) angulare,135195
Flabellum (Flabellum) vaughani,287031
Caryophylliidae,135073
Trochocyathus (Trochocyathus) vasiformis,286896
Trochocyathus (Aplocyathus) brevispina,286872
Trochocyathus (Trochocyathus) cooperi,286876
Trochocyathus (Trochocyathus) cepulla,286875
Trochocyathus (Aplocyathus) hastatus,286884
Trochocyathus (Trochocyathus) burchae,286873
Trochocyathus (Trochocyathus) apertus,286871
Trochocyathus (Trochocyathus) philippinensis,286891
Trochocyathus (Trochocyathus) laboreli,286886
Trochocyathus (Trochocyathus) discus,286878
Trochocyathus (Trochocyathus) gordoni,286883
Trochocyathus (Trochocyathus) efateensis,286879
Trochocyathus (Trochocyathus) maculatus,286888
Trochocyathus (Trochocyathus) rhombocolumna,286894
Trochocyathus (Trochocyathus) rawsonii,286893
Truncatoflabellum truncum,287068
Tubastraea micranthus,291255
Turbinaria peltata,207512
Vaughanella oreophila,286900
Vaughanella multipalifera,286899
Vaughanella concinna,135177
Deltocyathus corrugatus,286793
Balanophyllia (Balanophyllia) diffusa,216155
Balanophyllia (Balanophyllia) desmophyllioides,286915
Eguchipsammia gaditana,135189
Caryophyllia (Acanthocyathus) grayi,-999
Eguchipsammia japonica,286984
Endopachys grayi,289891
Dendrophylliidae,135074
Caryophyllia (Caryophyllia) rugosa,286763
Caryophyllia (Caryophyllia) scobinosa,286765
Madrepora porcellana,287095
Caryophyllia (Acanthocyathus) decamera,286738
Caryophyllia (Acanthocyathus) dentata,-999
Balanophyllia (Balanophyllia) floridana,286923
Balanophyllia (Balanophyllia) galapagensis,286924
Caryophyllia (Caryophyllia) abrupta,286723
Caryophyllia (Acanthocyathus) unicristata,286773
Deltocyathus crassiseptum,286794
Caryophyllia (Caryophyllia) abyssorum,135133
Caryophyllia (Acanthocyathus) karubarica,286750
Balanophyllia (Balanophyllia) gemma,286925
Balanophyllia (Balanophyllia) generatrix,286926
Caryophyllia (Acanthocyathus) spinigera,286769
Caryophyllia (Caryophyllia) antarctica,172992
Caryophyllia (Caryophyllia) ambrosia ambrosia,-999
Caryophyllia (Caryophyllia) alberti,135134
Balanophyllia (Balanophyllia) gigas,286927
Caryophyllia (Caryophyllia) ambrosia caribbeana,-999
Balanophyllia (Balanophyllia) laysanensis,286933
Balanophyllia (Balanophyllia) malouinensis,173038
Flabellum (Flabellum) thouarsii,287026
Trochocyathus (Trochocyathus) aithoseptatus,286870
Dendrophyllia arbuscula,210746
Trochocyathus (Trochocyathus) mauiensis,286889
Flabellum (Flabellum) curvatum,173052
Trochocyathus (Trochocyathus) oahensis,216151
Trochocyathus (Trochocyathus) patelliformis,286890
Lochmaeotrochus oculeus,290317
Flabellum (Flabellum) areum,287001
Flabellum (Flabellum) flexuosum,173049
Aulocyathus juvenescens,286720
Monohedotrochus capitolii,492269
Aulocyathus recidivus,286722
Monohedotrochus circularis,492270
Aulocyathus atlanticus,135132
Monohedotrochus epithecatus,492272
Balanophyllia (Balanophyllia) cellulosa,135179
Javania insignis,287036
Flabellum (Flabellum) cinctutum,736238
Balanophyllia (Balanophyllia) capensis,286905
Balanophyllia (Balanophyllia) cornu,286910
Balanophyllia (Balanophyllia) chnous,173036
Balanophyllia (Balanophyllia) crassitheca,286912
Flabellum (Flabellum) impensum,173050
Deltocyathus cameratus,286792
Balanophyllia (Balanophyllia) dentata,286914
Balanophyllia (Balanophyllia) cumingii,216153
Balanophyllia (Balanophyllia) crassiseptum,286911
Fungiacyathus (Fungiacyathus) fragilis,135204
Letepsammia formosissima,290286
Deltocyathoides orientalis,287127
Peponocyathus minimus,287129
Deltocyathus andamanicus,286790
Notophyllia hecki,290501
Notophyllia recta,290503
Javania cristata,736239
Labyrinthocyathus langae,290266
Rhizosmilia gerdae,290973
Schizocyathus fissilis,135207
Oxysmilia corrugata,290563
Paraconotrochus antarcticus,290632
Caryophyllia (Caryophyllia) berteriana,286731
Polycyathus senegalensis,286847
Phyllangia pequegnatae,287747
Stephanocyathus (Odontocyathus) coronatus,286851
Labyrinthocyathus facetus,290265
Paraconotrochus capense,290633
Paraconotrochus zeidleri,290634
Javania fusca,287035
Concentrotheca laevigata,135151
Paracyathus pruinosus,286828
Flabellum (Flabellum) gardineri,173054
