,Kingdom,Phylum,Class,Subclass,Order,Family,Genus,Species,8,9,10
Madrepora oculata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Madrepora,Madrepora oculata,,,
Stenocyathus vermiformis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Stenocyathidae,Stenocyathus,Stenocyathus vermiformis,,,
Stichopathes pourtalesi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes,Stichopathes pourtalesi,,,
Stichopathes lutkeni,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes,Stichopathes lutkeni,,,
Stichopathes filiformis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes,Stichopathes filiformis,,,
Stichopathes variabilis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes,Stichopathes variabilis,,,
Stichopathes spiessi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes,Stichopathes spiessi,,,
Stichopathes echinulata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes,Stichopathes echinulata,,,
Stichopathes euoplos,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes,Stichopathes euoplos,,,
Stichopathes paucispina,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes,Stichopathes paucispina,,,
Stichopathes gracilis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes,Stichopathes gracilis,,,
Stichopathes setacea,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes,Stichopathes setacea,,,
Stichopathes occidentalis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes,Stichopathes occidentalis,,,
Stylatula elegans,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Virgulariidae,Stylatula,Stylatula elegans,,
Distichopora violacea,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,Distichopora,Distichopora violacea,,
Porifera,Animalia,Porifera,,,,,,,,,
Gorgonacea,Animalia,Cnidaria,Anthozoa,Octocorallia,Gorgonacea,,,,,,
Stylasteridae,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae,,,,
Umbellula magniflora,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Umbellulidae,Umbellula,Umbellula magniflora,,
Umbellula lindahli,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Umbellulidae,Umbellula,Umbellula lindahli,,
Umbellula guentheri,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Umbellulidae,Umbellula,Umbellula guentheri,,
Polymyces fragilis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Polymyces,Polymyces fragilis,,,
Pennatulacea,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,,,,,,
Cladocora debilis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Scleractinia incertae sedis,Cladocora,Cladocora debilis,,,
Funiculina quadrangularis,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Funiculinidae,Funiculina,Funiculina quadrangularis,,
Madracis myriaster,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Madracis,Madracis myriaster,,,
Scleractinia,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,,,,,,
Vaughanella margaritata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Vaughanella,Vaughanella margaritata,,,
