index,AphiaID,Kingdom,Phylum,Class,Subclass,Order,Family,Genus
Madrepora oculata,135209,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Madrepora
Stenocyathus vermiformis,135208,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Stenocyathidae,Stenocyathus
Stichopathes pourtalesi,283975,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes lutkeni,283970,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes filiformis,283966,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes variabilis,283984,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes spiessi,283982,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes echinulata,283964,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes euoplos,103332,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes paucispina,283974,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes gracilis,103334,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes setacea,283979,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Stichopathes occidentalis,283972,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Stichopathes
Porifera,558,Animalia,Porifera,,,,,
Gorgonacea,1366,Animalia,Cnidaria,Anthozoa,Octocorallia,Gorgonacea,,
Stylasteridae,22805,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Anthoathecata,Filifera,Stylasteridae
Polymyces fragilis,290837,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Polymyces
Pennatulacea,1367,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,,
Cladocora debilis,135147,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Scleractinia incertae sedis,Cladocora
Madracis myriaster,287111,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Madracis
Scleractinia,1363,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,,
Vaughanella margaritata,286898,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Vaughanella
Javania antarctica,173056,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Javania borealis,287032,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Javania cailleti,135198,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Dasmosmilia variegata,135153,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Dasmosmilia
Javania californica,287033,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Javania lamprotichum,287037,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Javania exserta,287034,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania
Pourtalocyathus hispidus,290848,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Schizocyathidae,Pourtalocyathus
Gardineria hawaiiensis,287443,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Gardineriidae,Gardineria
Polymyces montereyensis,290838,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Polymyces
Enallopsammia rostrata,135190,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Enallopsammia
Crispatotrochus squiresi,289745,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Crispatotrochus
Paracyathus molokensis,286823,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Paracyathus
Premocyathus cornuformis,135167,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Premocyathus
